{'iter_num': 30000, 'train_batch_size': 4, 'lr': 0.001, 'lr_step': 6700, 'lr_decay': 10, 'weight_decay': 0.0001, 'momentum': 0.9, 'last_iter': 0}

[iter 1], [train loss 8.01857], [loss0 0.85689], [lr 0.0010000000000]
[iter 2], [train loss 8.46448], [loss0 0.86796], [lr 0.0010000000000]
[iter 3], [train loss 8.36600], [loss0 0.85769], [lr 0.0010000000000]
[iter 4], [train loss 8.47631], [loss0 0.84974], [lr 0.0010000000000]
[iter 5], [train loss 8.39473], [loss0 0.83646], [lr 0.0010000000000]
[iter 6], [train loss 8.33338], [loss0 0.82058], [lr 0.0010000000000]
[iter 7], [train loss 8.35248], [loss0 0.80302], [lr 0.0010000000000]
[iter 8], [train loss 8.27556], [loss0 0.78522], [lr 0.0010000000000]
[iter 9], [train loss 8.25460], [loss0 0.76497], [lr 0.0010000000000]
[iter 10], [train loss 8.21030], [loss0 0.74541], [lr 0.0010000000000]
[iter 11], [train loss 8.12639], [loss0 0.73282], [lr 0.0010000000000]
[iter 12], [train loss 8.08144], [loss0 0.71310], [lr 0.0010000000000]
[iter 13], [train loss 8.03830], [loss0 0.69278], [lr 0.0010000000000]
[iter 14], [train loss 7.99518], [loss0 0.67409], [lr 0.0010000000000]
[iter 15], [train loss 7.92003], [loss0 0.66364], [lr 0.0010000000000]
[iter 16], [train loss 7.87727], [loss0 0.64693], [lr 0.0010000000000]
[iter 17], [train loss 7.83120], [loss0 0.63209], [lr 0.0010000000000]
[iter 18], [train loss 7.80066], [loss0 0.61364], [lr 0.0010000000000]
[iter 19], [train loss 7.77427], [loss0 0.59466], [lr 0.0010000000000]
[iter 20], [train loss 7.73492], [loss0 0.58972], [lr 0.0010000000000]
[iter 21], [train loss 7.69816], [loss0 0.57990], [lr 0.0010000000000]
[iter 22], [train loss 7.65652], [loss0 0.56804], [lr 0.0010000000000]
[iter 23], [train loss 7.61278], [loss0 0.56044], [lr 0.0010000000000]
[iter 24], [train loss 7.57472], [loss0 0.54994], [lr 0.0010000000000]
[iter 25], [train loss 7.54076], [loss0 0.54581], [lr 0.0010000000000]
[iter 26], [train loss 7.51229], [loss0 0.53338], [lr 0.0010000000000]
[iter 27], [train loss 7.48332], [loss0 0.53282], [lr 0.0010000000000]
[iter 28], [train loss 7.45479], [loss0 0.52016], [lr 0.0010000000000]
[iter 29], [train loss 7.43291], [loss0 0.52161], [lr 0.0010000000000]
[iter 30], [train loss 7.40693], [loss0 0.50950], [lr 0.0010000000000]
[iter 31], [train loss 7.38623], [loss0 0.50874], [lr 0.0010000000000]
[iter 32], [train loss 7.36185], [loss0 0.50056], [lr 0.0010000000000]
[iter 33], [train loss 7.33880], [loss0 0.49298], [lr 0.0010000000000]
[iter 34], [train loss 7.31251], [loss0 0.48657], [lr 0.0010000000000]
[iter 35], [train loss 7.29060], [loss0 0.47641], [lr 0.0010000000000]
[iter 36], [train loss 7.27562], [loss0 0.47737], [lr 0.0010000000000]
[iter 37], [train loss 7.25332], [loss0 0.47225], [lr 0.0010000000000]
