{'iter_num': 15000, 'train_batch_size': 10, 'lr': 0.001, 'lr_step': 6700, 'lr_decay': 10, 'weight_decay': 0.0001, 'momentum': 0.9, 'last_iter': 0}

[iter 1], [train loss 8.89725], [loss0 1.47834], [lr 0.0010000000000]
[iter 2], [train loss 8.98071], [loss0 1.48071], [lr 0.0010000000000]
[iter 3], [train loss 9.03980], [loss0 1.47618], [lr 0.0010000000000]
[iter 4], [train loss 8.91397], [loss0 1.44166], [lr 0.0010000000000]
[iter 5], [train loss 8.57155], [loss0 1.36907], [lr 0.0010000000000]
[iter 6], [train loss 8.64730], [loss0 1.35417], [lr 0.0010000000000]
[iter 7], [train loss 8.64752], [loss0 1.32550], [lr 0.0010000000000]
[iter 8], [train loss 8.55501], [loss0 1.28900], [lr 0.0010000000000]
[iter 9], [train loss 8.43592], [loss0 1.24901], [lr 0.0010000000000]
[iter 10], [train loss 8.34630], [loss0 1.21099], [lr 0.0010000000000]
[iter 11], [train loss 8.26433], [loss0 1.17481], [lr 0.0010000000000]
[iter 12], [train loss 8.22471], [loss0 1.13928], [lr 0.0010000000000]
[iter 13], [train loss 8.17272], [loss0 1.10330], [lr 0.0010000000000]
[iter 14], [train loss 8.15507], [loss0 1.06798], [lr 0.0010000000000]
[iter 15], [train loss 8.09049], [loss0 1.03675], [lr 0.0010000000000]
[iter 16], [train loss 8.07151], [loss0 1.00333], [lr 0.0010000000000]
[iter 17], [train loss 8.05105], [loss0 0.97017], [lr 0.0010000000000]
[iter 18], [train loss 8.00387], [loss0 0.94172], [lr 0.0010000000000]
[iter 19], [train loss 7.97633], [loss0 0.91640], [lr 0.0010000000000]
[iter 20], [train loss 7.93546], [loss0 0.88844], [lr 0.0010000000000]
[iter 21], [train loss 7.90378], [loss0 0.86154], [lr 0.0010000000000]
[iter 22], [train loss 7.84306], [loss0 0.85004], [lr 0.0010000000000]
[iter 23], [train loss 7.81371], [loss0 0.82512], [lr 0.0010000000000]
[iter 24], [train loss 7.77950], [loss0 0.81137], [lr 0.0010000000000]
[iter 25], [train loss 7.74159], [loss0 0.79016], [lr 0.0010000000000]
[iter 26], [train loss 7.71661], [loss0 0.77580], [lr 0.0010000000000]
[iter 27], [train loss 7.68731], [loss0 0.75472], [lr 0.0010000000000]
[iter 28], [train loss 7.65475], [loss0 0.74682], [lr 0.0010000000000]
[iter 29], [train loss 7.62155], [loss0 0.73079], [lr 0.0010000000000]
[iter 30], [train loss 7.58699], [loss0 0.72120], [lr 0.0010000000000]
[iter 31], [train loss 7.55918], [loss0 0.70752], [lr 0.0010000000000]
[iter 32], [train loss 7.53499], [loss0 0.70563], [lr 0.0010000000000]
[iter 33], [train loss 7.50676], [loss0 0.69317], [lr 0.0010000000000]
[iter 34], [train loss 7.47801], [loss0 0.68097], [lr 0.0010000000000]
[iter 35], [train loss 7.45482], [loss0 0.66631], [lr 0.0010000000000]
[iter 36], [train loss 7.42787], [loss0 0.65623], [lr 0.0010000000000]
[iter 37], [train loss 7.40236], [loss0 0.64361], [lr 0.0010000000000]
[iter 38], [train loss 7.37884], [loss0 0.63559], [lr 0.0010000000000]
[iter 39], [train loss 7.35756], [loss0 0.62894], [lr 0.0010000000000]
[iter 40], [train loss 7.33633], [loss0 0.61682], [lr 0.0010000000000]
[iter 41], [train loss 7.31474], [loss0 0.60676], [lr 0.0010000000000]
[iter 42], [train loss 7.29649], [loss0 0.60084], [lr 0.0010000000000]
[iter 43], [train loss 7.28103], [loss0 0.59758], [lr 0.0010000000000]
[iter 44], [train loss 7.25908], [loss0 0.58730], [lr 0.0010000000000]
[iter 45], [train loss 7.23795], [loss0 0.57798], [lr 0.0010000000000]
[iter 46], [train loss 7.21769], [loss0 0.56887], [lr 0.0010000000000]
[iter 47], [train loss 7.19680], [loss0 0.56303], [lr 0.0010000000000]
[iter 48], [train loss 7.17634], [loss0 0.55474], [lr 0.0010000000000]
[iter 49], [train loss 7.16085], [loss0 0.54924], [lr 0.0010000000000]
[iter 50], [train loss 7.14301], [loss0 0.54060], [lr 0.0010000000000]
